Año,Canción,Otro Artista,Dirección,Álbum
2004,«Biografía»,Ninguno,Luis Humberto Navejas,Consuelo en Domingo
2007,«Manía Cardíaca»,Ninguno,"Arte Anormal, Sergio Hernández",El Segundo es Felino
2009,«Ausencia de Cocina»,Ninguno,"Arte Anormal, Sergio Hernández",El Segundo es Felino
2009,«Último Tema»,Ninguno,Carlos Michel,El Segundo es Felino
2009,«Impacto»,Lo Blondo,Diego Robleda,El Segundo es Felino
2011,«Visita»,Ninguno,Anton Goenechea,Daltónico
2011,«Enemigo»,Ninguno,,Daltónico
2011,«Dulce Soledad»,Ninguno,Antonio Loza,Daltónico
2011,«Tu Yugular Dulce Hogar»,Ninguno,Antonio Loza,Daltónico
2012,«Somos Ajenos»,Ninguno,,Huéspedes del Orbe
2012,«Cámara de Faltas»,Ninguno,,Huéspedes del Orbe
2013,«Elemento»,Ninguno,,Huéspedes del Orbe
2014,«Hematófago»,Ninguno,,Proaño
2015,«Sábado Perpetuo»,Ninguno Antonio Loza,,Proaño
2015,«Por Esta Razón»,Ninguno,,Proaño
2015,«El Ordinario»,Ninguno,,Sin álbum
2016,«De Paso»,Ninguno,Rafael Navejas / Antonio Loza,Proaño
2017,«En Tu Día»,Ninguno,,Imperfecto Extraño
2017,«Tercer Tipo»,Ninguno,,Imperfecto Extraño
2017,«Vida en el Espejo»,Ninguno,,Imperfecto Extraño
2019,«Relámpago»,Ninguno,,Próximos Prójimos
2019,«Siempre Tú»,Ninguno,"Unlimited Films, Alexis Gómez",Próximos Prójimos
2020,«Tercer Tipo»,Lori Meyers,,Sin álbum
2020,«Divergencia»,Ninguno,,Próximos Prójimos
2020,«El Derrumbe»,Ninguno,,Próximos Prójimos
2021,«Delorean»,Ninguno,,Ambrosia
2021,«Crash»,Ninguno,,Ambrosia
2021,«Upgrade»,Ninguno,,Ambrosia
